word,sentiment_importance,course_importance,total_importance,category,word_length,is_japanese,rank
形成,0.0002125436785044,0.001169145245243,0.0013816889237474,評価特化,2,True,427
選ぶ,0.0001962902024388,0.0011823992244899,0.0013786894269287,評価特化,2,True,432
一杯,0.0002151412061519,0.0011608488857746,0.0013759900919265002,評価特化,2,True,439
増加,0.0003368314355611,0.0010279454290866,0.0013647768646477,評価特化,2,True,460
多少,0.0004614669738746,0.0008928899357958,0.0013543569096704,評価特化,2,True,473
余り,0.0002401689333575,0.0011114084294864,0.0013515773628439,評価特化,2,True,481
在り,0.000487986286836,0.0008633136749267,0.0013512999617627001,評価特化,2,True,482
不足,0.0003749703931989,0.0009740505819067,0.0013490209751056,評価特化,2,True,487
立ち,0.000435880826492,0.0009103614771575,0.0013462423036495,評価特化,2,True,489
かん,0.0004768632352352,0.0008632043997446,0.0013400676349798,評価特化,2,True,504
一人,0.0004201572690461,0.0009176199500625,0.0013377772191086,評価特化,2,True,509
聴き,0.0003549689427018,0.0009638288368781,0.0013187977795799,評価特化,2,True,553
取り扱っ,0.0004378696903586,0.0008795739461978,0.0013174436365564,評価特化,4,True,555
伸ばし備所,0.0003058038651943,0.0010104939341545,0.0013162977993488,評価特化,5,True,557
身近,0.0003676820021347,0.0009455920865871,0.0013132740887218,評価特化,2,True,566
自由衰,0.0003443762660026,0.0009632132947444,0.0013075895607470001,評価特化,3,True,574
オリエンテーション,0.0002101697027683,0.0010935639341672,0.0013037336369355,評価特化,9,True,578
キーボード,0.0004233090827862,0.0008773046235243,0.0013006137063105,評価特化,5,True,585
理想,0.0004896562207828,0.0008057823235338,0.0012954385443166,評価特化,2,True,596
度々,0.0004309222102165,0.0008612379431724,0.0012921601533889,評価特化,2,True,605
スポーツ,0.0004108685636665,0.0008804951862591,0.0012913637499256,評価特化,4,True,606
錯誤,0.0004201784729957,0.0008707582950592,0.0012909367680549,評価特化,2,True,609
もっ,0.0002884107020994,0.0009985428924361,0.0012869535945354998,評価特化,2,True,619
重なる,0.0004576623439788,0.0008222088217735,0.0012798711657523,評価特化,3,True,635
情報テラシー,0.0003199925025304,0.0009554761151472,0.0012754686176776,評価特化,6,True,643
宇宙,0.0004923965781927,0.0007804244756698,0.0012728210538625,評価特化,2,True,650
互い,0.000339353531599,0.0009331965446472,0.0012725500762462,評価特化,2,True,652
先行,0.0004327066242694,0.0008394400278727,0.0012721466521421,評価特化,2,True,654
はやく,0.0004883273862875,0.0007816025843987,0.0012699299706862,評価特化,3,True,660
20,0.0004841492821772,0.0007776468992233,0.0012617961814005,評価特化,2,False,683
教え合い,0.0003821262054973,0.0008760525120629,0.0012581787175602,評価特化,4,True,691
関わり,0.000442906110375,0.0008147178148781,0.0012576239252531,評価特化,3,True,695
遅い,0.0004741861908273,0.0007774220271544,0.0012516082179817,評価特化,2,True,712
メンバー,0.0001659111430247,0.0010812434885236,0.0012471546315483,評価特化,4,True,726
出す,0.0004363617605783,0.0008106241510673,0.0012469859116456,評価特化,2,True,727
返却,0.0004740423081736,0.0007655164717059,0.0012395587798795,評価特化,2,True,750
いくら,0.000439216196537,0.0007965862751007,0.0012358024716377,評価特化,3,True,757
通じ,0.0003120074575038,0.0009234494975079,0.0012354569550117,評価特化,2,True,761
組み立てる,0.000208531320095,0.0010259464383125,0.0012344777584075,評価特化,5,True,764
どう,0.0004240877136136,0.0008049617098136,0.0012290494234272,評価特化,2,True,777
くれれ,0.0003862023353576,0.0008390262722969,0.0012252286076545,評価特化,3,True,788
Excel,0.0002890605363965,0.000934732861297,0.0012237933976935,評価特化,5,False,793
スラスラ,0.0001403845846652,0.0010824397206306,0.0012228243052958,評価特化,4,True,796
国民,0.0003074977014745,0.0009120777249336,0.0012195754264080999,評価特化,2,True,805
天皇,0.0003773649223148,0.0008413316681981,0.0012186965905128999,評価特化,2,True,807
まし点,0.0004046576266938,0.000811489468271,0.0012161470949648,評価特化,3,True,818
学生,0.0001639846652265,0.0010519435839547,0.0012159282491812,評価特化,2,True,820
残る,0.0001496076583862,0.0010655288185392,0.0012151364769254001,評価特化,2,True,821
なっ,0.0001933545576865,0.0010216838384638,0.0012150383961503,評価特化,2,True,822
テスト題,0.0004954759031534,0.0007135942578315,0.0012090701609849,評価特化,4,True,830
にくかっ,0.0004678992905987,0.0007411040506272,0.0012090033412259001,評価特化,4,True,831
静か,0.000327318906784,0.0008795330921808,0.0012068519989648,評価特化,2,True,837
落ち,0.0004465722789367,0.0007594662408034,0.0012060385197401,評価特化,2,True,841
ため張っ,0.000306649506092,0.0008989304304122,0.0012055799365042,評価特化,4,True,847
品質,0.0004728003405034,0.000727791339159,0.0012005916796624001,評価特化,2,True,863
TOEIC,0.0004368279269843,0.0007622026188193,0.0011990305458036,評価特化,5,False,867
ます板,0.0002039862530572,0.0009933380143983,0.0011973242674554998,評価特化,3,True,871
企画,0.0004365183413028,0.0007582940161228,0.0011948123574256,評価特化,2,True,879
時間,0.0003981627754924,0.0007954906729995,0.0011936534484919001,評価特化,2,True,881
とも,0.0004938453435897,0.0006978728753678,0.0011917182189575002,評価特化,2,True,884
ましython,0.0003516420722007,0.0008400157094001,0.0011916577816008,評価特化,7,True,885
もと,0.0004970171350113,0.0006939764035508,0.0011909935385620999,評価特化,2,True,886
事例,0.0004009728791651,0.0007887923872316,0.0011897652663967,評価特化,2,True,891
追いつか,0.0004847938460963,0.0007029284856149,0.0011877223317112,評価特化,4,True,898
です記,0.0004715146496891,0.0007160557433962,0.0011875703930853,評価特化,3,True,899
やすかっ習習,0.0003300994634628,0.0008573442697525,0.0011874437332153,評価特化,6,True,900
まで修,0.0004252754151821,0.0007620617747306,0.0011873371899126998,評価特化,3,True,901
