word,mean_shap,abs_mean_shap,count,category,sentiment_type
見直,0.0231097561200972,0.0255321643526473,11.0,その他,ポジティブ
イラスト,0.0229070606364985,0.0241133649091352,5.0,その他,ポジティブ
解決,0.022898905895931,0.023171832703424,32.0,その他,ポジティブ
広く,0.0227931744963695,0.0227931744963695,7.0,その他,ポジティブ
ビデオ,0.0227778765705058,0.0227778765705058,5.0,その他,ポジティブ
通じ,0.0227715422430567,0.0228275785177525,16.0,その他,ポジティブ
物事,0.0226682184884945,0.0247024613665416,15.0,その他,ポジティブ
使っ,0.0226662835879459,0.0230036374569695,48.0,その他,ポジティブ
御,0.02265162277927,0.02265162277927,6.0,その他,ポジティブ
重要,0.0225035711166394,0.0227028333719406,85.0,その他,ポジティブ
やり,0.0224725850343978,0.0230440868719486,63.0,その他,ポジティブ
日本,0.0223470289552202,0.0229050656555553,43.0,その他,ポジティブ
持つ,0.0221632155759298,0.0227796402754105,22.0,その他,ポジティブ
新た,0.0221149629372909,0.0221149629372909,15.0,その他,ポジティブ
進める,0.0220528541045,0.0251520150731074,18.0,その他,ポジティブ
着け,0.0220248775880556,0.0226011251577755,13.0,その他,ポジティブ
科学,0.0219909289955062,0.0238743772480625,12.0,学習効果,ポジティブ
通信,0.0219126643843386,0.0219126643843386,6.0,その他,ポジティブ
体験,0.0219015314968091,0.0287343057131183,15.0,機会・体験,ポジティブ
s,0.0218760884179415,0.0225569164194447,27.0,その他,ポジティブ
地域,0.021831082246208,0.022794516008289,25.0,その他,ポジティブ
曲,0.0217672125581884,0.0217672125581884,5.0,その他,ポジティブ
通し,0.0217164795892319,0.0218291960302967,103.0,その他,ポジティブ
目標,0.0216770946514493,0.0219795805634653,16.0,その他,ポジティブ
かせ,0.0216509209916694,0.0218342710722936,5.0,その他,ポジティブ
動き,0.0216110904354232,0.023796270762735,6.0,その他,ポジティブ
ニュース,0.021581886770686,0.0234274031016476,7.0,その他,ポジティブ
思え,0.0215126309867454,0.0215126309867454,10.0,その他,ポジティブ
動作,0.0214671882774079,0.02173994452581,6.0,その他,ポジティブ
有り,0.0214029603465542,0.0228847967172123,6.0,その他,ポジティブ
ゲーム,0.0213144469293183,0.0221504025845206,5.0,その他,ポジティブ
協調,0.0213088802775018,0.0213088802775018,8.0,その他,ポジティブ
取り組ん,0.0211431558083549,0.0212639855832065,80.0,その他,ポジティブ
ディスカ,0.0211267306616431,0.0226964232462801,19.0,その他,ポジティブ
完成,0.0211205523020388,0.0211205523020388,7.0,その他,ポジティブ
仕組み,0.0210328638691398,0.0216669811504371,25.0,その他,ポジティブ
つける,0.0210172709987869,0.023488163319827,59.0,その他,ポジティブ
夫,0.0209347852717575,0.021439675698358,80.0,その他,ポジティブ
