natural,mean_shap,abs_mean_shap,std_shap,count
 問題,0.0134151585729346,0.0163438824963389,0.0261754517985309,279.0
 が,0.0134065459360144,0.0156645861954848,0.0202665378069133,4454.0
 スキル,0.013405605349383,0.0144922873848709,0.0150308402315668,21.0
 扱う,0.0133976587298093,0.0144882575696101,0.0167907070402857,10.0
 技術,0.013386723548694902,0.0145033978431977,0.0212098935032219,45.0
 場面,0.0131902147200889,0.0194813327892916,0.0186945399979573,10.0
 調査,0.013188132059830002,0.013475149728427402,0.0134303361611396,14.0
 番,0.0131878825474051,0.0139767303686459,0.0165801517313377,14.0
 話題,0.013179445528173,0.013472086948362,0.0139506030961612,5.0
 気持ち,0.0131730148669787,0.0167843662520376,0.0230265391919686,14.0
 声,0.0131423344222674,0.0137753955161148,0.0153669397807096,9.0
 伝え,0.0131276731282364,0.0134077289967447,0.0218637151548326,9.0
 いただ,0.0130719021463555,0.0196963005757926,0.0271373944764458,113.0
 高,0.0130675843612466,0.0130675843612466,0.010721977738542,9.0
 特徴,0.0130553600590376,0.0139399663956802,0.0130348368236753,7.0
 き,0.0130059853470334,0.0142232093986787,0.0225621310818193,100.0
 はや,0.0129901841013634,0.015544301711634002,0.0155379883721657,5.0
 共,0.012933617996138,0.012933617996138,0.0085021014654332,8.0
 認識,0.0129037290250077,0.0147015019980851,0.0167078906755823,6.0
 つつ,0.0128625161146216,0.0128625161146216,0.0103012305412269,12.0
 続け,0.012821876980974398,0.0157456394602517,0.0216242075932456,13.0
く,0.012812211240820598,0.0166578535621573,0.0232160104614724,162.0
 複素,0.012774726189647501,0.012774726189647501,0.0122678295285085,5.0
 電子,0.0127612743386375,0.0144676887102832,0.0135975257465803,14.0
 グループ,0.0127272983317222,0.0148021040536639,0.026097931157080697,86.0
 知能,0.012718863175874,0.0128734513727663,0.0157961501606572,6.0
 よ,0.0127084950286104,0.0173770237465792,0.0285971011023484,28.0
 これ,0.012673299125452,0.0131471680659087,0.0123006466500137,135.0
 雰囲気,0.012621879677040102,0.0166102306576725,0.0189431767613176,14.0
 つい,0.0126150896507259,0.015416670052220001,0.0196123159808442,602.0
 出来事,0.0125952907302491,0.0125952907302491,0.0105747765829512,9.0
 なく,0.0125266013237537,0.0171025295138054,0.024538258522948,200.0
 微分,0.0125188426882815,0.014517106322424898,0.019367687857189002,26.0
 構成,0.0124973436382523,0.0124973436382523,0.0147882306772278,6.0
 い,0.0124826589160347,0.0136594427824094,0.0183253029264602,388.0
 いい,0.012470476925858,0.0146234620560876,0.026540239171627,323.0
 うえ,0.0124483280000276,0.0134144036113866,0.0138325853075723,10.0
 スポーツ,0.0124419460257171,0.0135727371865622,0.0160335908662219,31.0
 可能,0.012432708147361,0.0127372473633474,0.0167143634736779,11.0
 な,0.0124274591934098,0.0135670689580123,0.0170836681073219,934.0
 パワー,0.0124194040898666,0.0160695716185728,0.018836864595244102,14.0
 人間,0.012411609490983,0.0136001817770655,0.0142015598582039,16.0
イング,0.0123559222766844,0.014445713577313399,0.016548648592177,9.0
 なる,0.012353782542859302,0.014413926626158601,0.0224705764451847,171.0
 事例,0.0123319519366922,0.0136937377844531,0.0180236456677611,13.0
 基本,0.012326568843205902,0.0165488395617562,0.0238270453825484,55.0
 解析,0.0122961235803971,0.0181849190419305,0.0229384226047414,27.0
 作り,0.0122749961453791,0.0168990374529585,0.0264858804586348,16.0
 入っ,0.0122627389911523,0.0143546910548041,0.0221032102944563,23.0
 思い,0.0122474380955772,0.0141075736337654,0.0190613758508737,697.0
 関連,0.0122440141718386,0.0139513709253413,0.0146464513420182,20.0
人,0.012233794228814,0.0126905367404106,0.0099088248749538,5.0
 気づき,0.0122126977954758,0.012915769770042902,0.016805833089488,5.0
 凄,0.0122089644623226,0.0122089644623226,0.0050706901773166,5.0
 心理,0.0121892437821315,0.0140888968819581,0.0127805004259135,16.0
 くれ,0.012179482567173099,0.0157552319416583,0.0234535484721613,108.0
 名,0.0121727621315188,0.013199167860290201,0.013090529822042302,5.0
ひ,0.0121675387219806,0.0141571456184867,0.0251468731331096,34.0
 振り返,0.0121340695491321,0.0180743766796768,0.0385367131389462,37.0
 とっ,0.0120998216501615,0.012589162193188199,0.014685655260601898,80.0
 三,0.0120756085319347,0.0130601528641515,0.0103701189047603,6.0
l,0.0120445566460187,0.0139655069216297,0.0157162522365482,25.0
量,0.0120433156616837,0.013833525998339802,0.0128797720690634,5.0
 就職,0.012033144092557799,0.012384630624421198,0.0115250960975929,12.0
 苦労,0.012006868514653,0.0178546437897496,0.0335076157431967,13.0
 さらに,0.0120015819371854,0.0135278986338707,0.0139374822399613,28.0
 自身,0.0119285567587311,0.0127203335724156,0.0125403396187473,29.0
 僕,0.0119000242787781,0.0119000242787781,0.0184515643788843,6.0
 くだ,0.0118331665806212,0.016371081737259,0.019465128670546,89.0
 分かる,0.011819722802662901,0.0146651518915385,0.0182602083403053,13.0
 ソフト,0.011795379046522099,0.0142030726046406,0.0111102552770441,11.0
 他,0.0117889719036432,0.0135586425990092,0.0157103815053292,55.0
 願い,0.0117661330369265,0.0134406129349918,0.013081811683095102,10.0
 地図,0.0117586870241211,0.013249858518247398,0.0160254390049465,5.0
 人物,0.0117510481824865,0.0133756166702369,0.0119135019390667,5.0
 中国,0.0117127067294763,0.0137857790277233,0.0175830499401692,21.0
 どの,0.0116951530557102,0.01285996423091,0.0222466434375271,47.0
 上手,0.0116927554264119,0.0128983830815566,0.013510928361289897,5.0
 リフレ,0.0116880978994231,0.0150424889770874,0.0164076081075187,8.0
 作家,0.0116853245805638,0.011859299983674,0.014231078856417,12.0
 がち,0.0116787861713116,0.014874513771246703,0.0204297245250234,6.0
 想像,0.0116770961202356,0.0118175497882475,0.010000345860165,7.0
 れ,0.0116372268662866,0.012044116277368,0.0163737109832037,155.0
 パイ,0.0116334308789061,0.0141490651866271,0.022759484758591703,7.0
 例,0.0116243996589017,0.0156376521992671,0.020495953765944,45.0
 身の,0.0115999029848101,0.0115999029848101,0.0113579847736103,5.0
 スムーズ,0.0115820245329285,0.014627603994004899,0.0188478875628655,13.0
 中心,0.011574622680564,0.012506613070633702,0.0155793016343744,7.0
 マナー,0.011515722499098,0.0137346460742264,0.0107773678905509,8.0
 学修,0.0115092692278342,0.011801972493821897,0.0128950918114574,13.0
 もちろん,0.0115075400349756,0.0116733941638845,0.0126260868508082,8.0
 たま,0.0114957922211033,0.0187779616026091,0.0200875898691396,5.0
 また,0.0114931479393335,0.0124990388873369,0.0137520206746,157.0
 議論,0.0114890361879728,0.0125277134933499,0.012511401258852303,13.0
 ね,0.011484003867680998,0.0126138646919639,0.0275113695224312,12.0
 なぜ,0.0114669405509013,0.0115930435958647,0.008904827621364,17.0
 関わる,0.0114666943300107,0.0126962286049092,0.0152727009000468,16.0
 クラス,0.011435707990131,0.0129283011768744,0.0217571229135665,11.0
 工夫,0.0113822961884448,0.013145990777762098,0.012703744969679302,10.0
ine,0.0113071437836677,0.0113071437836677,0.007232090182416,7.0
 行っ,0.0112935517979895,0.0117204697598195,0.0138387237334343,65.0
 今回,0.0112782857582706,0.0117641346637946,0.0130303938849112,32.0
 いこ,0.0112615942477517,0.011491587574681198,0.0087990768893832,6.0
 視聴,0.0112338041927963,0.0127385108941633,0.014510806741905198,11.0
 現状,0.0112260498535761,0.0112260498535761,0.0087089352057706,5.0
 文章,0.0112201169731047,0.013844277591598,0.0181040219084563,27.0
 持ち,0.0112194506032129,0.0120725210671399,0.012780591134164302,10.0
る,0.0112136071915375,0.013737493640828,0.0233347347274314,160.0
 補足,0.0111839532498076,0.0112989366146697,0.0065348835771857,6.0
だ,0.0111484058197001,0.0129463245560785,0.0103974251341051,9.0
 いる,0.0111476039911283,0.0122030446250093,0.01713482975678,235.0
 言い,0.0111406636306718,0.0120823391525255,0.018727104166128,7.0
 あれ,0.0111124328687654,0.0114463498280884,0.013052316377695999,39.0
 デ,0.0110990756341948,0.0138988545371413,0.0157123218947969,16.0
 うけ,0.011098890432289602,0.021811747499409,0.038473140617237,7.0
 画像,0.0110533010066817,0.0115458802219327,0.014742231214400202,13.0
 上,0.0109920014304151,0.013383490758839,0.0177526759866626,35.0
 最後,0.0109914630222624,0.0113899132158431,0.017090559602952,51.0
ける,0.0109888719668864,0.0192562926828233,0.0239815778189966,18.0
 教育,0.01095534574204,0.01095534574204,0.0073403465172439996,9.0
 影響,0.010901967392867,0.0161405304305916,0.0221774262300553,16.0
 もらい,0.0108880505188726,0.0124821206294273,0.0151566321533436,12.0
まっ,0.0108534378141792,0.0211904489984898,0.0276011569411925,20.0
 自分,0.0108452352472409,0.012371695208332898,0.0155782236875484,396.0
ッション,0.0107973353391571,0.015458339625183701,0.0172269774378213,20.0
 証明,0.0107760386515027,0.0118971251856154,0.0122394049784166,5.0
 形式,0.0107395135124102,0.012657029262582,0.024523620973665502,22.0
 情報,0.0107034688349617,0.0118922808967644,0.0118991999211681,53.0
 聞い,0.010695373178897098,0.011568927229177602,0.0174046331215488,124.0
ズ,0.0106786055277033,0.0114534190908151,0.0112543263109179,8.0
 能,0.0106633903857679,0.0106633903857679,0.010242181627494,6.0
 はじめ,0.0106555453331612,0.0109392675812726,0.0109231677699957,7.0
 教授,0.0106466066808934,0.0106466066808934,0.0137491900180627,8.0
 線形,0.0106457736714366,0.014009635257964,0.016913309008288,35.0
さり,0.0106378531354159,0.0159445083968284,0.0185153553465597,23.0
 プログラミング,0.0106210374006147,0.0125177832266611,0.0203154589999634,76.0
 もっ,0.0106156935127549,0.0113505031064276,0.0132707066814686,18.0
 仲間,0.0106150432344293,0.0132675445551285,0.0114696973360256,5.0
取り,0.0106111183278335,0.0160228682124943,0.0185794285704721,10.0
 の,0.0105860267285886,0.0124156123614335,0.0168693635242495,5342.0
 そんな,0.0105782715639294,0.0109116863154363,0.0097949004035062,8.0
 以前,0.0105769444271572,0.0120430782917537,0.012007724363368,5.0
 政治,0.0105721313041916,0.0118870367576972,0.0129078606481036,18.0
 発表,0.0105674027201445,0.0121451250610665,0.0196168315711538,78.0
 プログラム,0.0105380364423524,0.012521845559279801,0.0150375626005776,28.0
 てる,0.0105331379474364,0.0138048438890791,0.0180637405309075,16.0
 違っ,0.0104793677010093,0.0131847045709037,0.0183364500912305,16.0
 再,0.0104630033607396,0.013121508498597199,0.014842310646765,21.0
 考え,0.010460159210773302,0.0115850791881546,0.0164904501991814,203.0
 電磁,0.010458487920774199,0.010734180676081399,0.0185212728776767,13.0
 意味,0.0104338479796729,0.0138230176088718,0.0193799147434389,42.0
 頂,0.010420449969033201,0.0120201286533697,0.0124667695656621,30.0
 主張,0.0103993515998202,0.01103487109746,0.0090224142552106,6.0
 原理,0.0103790213123515,0.0179909966747789,0.032454464054826,12.0
 扱っ,0.0103592237711301,0.0103592237711301,0.0081631990502835,7.0
 日常,0.0103366421991116,0.012626134136325998,0.0170607976210614,24.0
 高い,0.0103256374980459,0.0116709301425804,0.0177916562669317,19.0
学,0.010317499764982,0.0117664061112721,0.012788841770737702,23.0
 資格,0.0102845921295132,0.012612593654921503,0.0104144865998107,6.0
 エク,0.0102683563629398,0.013106120633892698,0.0151126279179893,10.0
 授業,0.0102595245691459,0.0164393935079141,0.0261187716479367,1386.0
 色,0.0102436853900753,0.0132376436054208,0.015284939022703302,22.0
 、,0.0102312460593288,0.0111324283837705,0.0136712172621475,2920.0
 システム,0.0102295295165971,0.0110302940110507,0.0114313803271294,21.0
 対面,0.010172581990421,0.0149031809465175,0.0222248150479616,49.0
 最初,0.0101723281866358,0.0125845900734465,0.0141180896184091,55.0
 変わり,0.0101583568912246,0.0116964468667598,0.0135393851248571,6.0
 個人,0.0101090635267487,0.0106239464752799,0.0122331054573398,20.0
マンド,0.0100950589027772,0.0124271669129927,0.011292290657188798,13.0
 比べ,0.010065044107510098,0.012049341587304,0.0195445722603797,14.0
 対,0.0100049019165377,0.0136839678622512,0.0142153295967515,33.0
 思考,0.0100030834707164,0.0101530643866378,0.0094744631960322,8.0
回り,0.0100024083469836,0.0100024083469836,0.0098389442454904,5.0
 関係,0.0099983002969303,0.0114869403419277,0.0132942620364711,28.0
ネス,0.0099913210914501,0.0114663610322248,0.0117328395441913,38.0
 的,0.0099525322338495,0.011706646826349702,0.0157928708308651,422.0
い,0.0099380105163921,0.0127183716395218,0.0206250347367516,121.0
 頃,0.009879881581613,0.009879881581613,0.0105465385367707,8.0
 特に,0.0098569535080897,0.0123262902788242,0.0165960025916225,82.0
 実,0.0098503851801699,0.0107611084108497,0.0120984584851618,11.0
 努力,0.0098483598989508,0.0098483598989508,0.0092701570141331,9.0
 作業,0.0097815157484644,0.0108949878430606,0.0184518841666061,13.0
 れる,0.0097764149405781,0.0104630248036858,0.0162771597595701,86.0
 用意,0.0097729997489484,0.0126596074403634,0.0251666934319684,13.0
 機,0.0097703332305952,0.0097703332305952,0.005495187395698399,7.0
 sh,0.00976697985263,0.00976697985263,0.0059803359773464,7.0
 聞く,0.0097509715134931,0.0116008779453206,0.0217588328589848,87.0
さ,0.0097357153781679,0.0118339572685828,0.014987843011474598,93.0
 私,0.009713571523852,0.0102542736192219,0.0144471931182848,70.0
 段,0.0096889981650747,0.0096889981650747,0.0058116426821627,5.0
 踏まえ,0.009669477289953,0.0099307486871288,0.014326307904969502,10.0
動,0.0096615961744343,0.010605084383011299,0.0110166087698979,6.0
 行列,0.0096560134919466,0.0121585783811191,0.0138404695450682,22.0
 たり,0.0095972499368201,0.0115981876051165,0.0157824194055972,153.0
 論,0.0095958008503657,0.0095958008503657,0.0083856811944552,10.0
 法的,0.0095428694451887,0.0114161801053948,0.013211557036024201,6.0
 あたっ,0.0095058152877501,0.010230373324738,0.011775617443921102,6.0
わっ,0.009497152608933598,0.0102559313477935,0.013557446966290002,7.0
 開発,0.0094616526256973,0.0094886769467505,0.0136052444892914,13.0
 アドバイス,0.0094606113845478,0.0117007338569415,0.0105045342273066,10.0
 聞か,0.009458770777807,0.0118867471986353,0.0167290968555547,6.0
 意見,0.0094567201649555,0.0125467022822099,0.0164401999296026,66.0
 全力,0.009421251292224,0.0206981609604554,0.0329533838751359,5.0
 人工,0.0094173408629636,0.012712008988418,0.0170653739621486,5.0
 間違い,0.009377856281176,0.0094408441217239,0.0127901164310938,11.0
な,0.0093538014044725,0.0126555783664343,0.0164662505241437,16.0
 説明,0.0093529223412513,0.0159339486576727,0.0202861534607895,182.0
 概ね,0.0093263293005293,0.0093263293005293,0.0082500382094429,5.0
 キー,0.0093248033954296,0.0109527939232066,0.012795468837808698,5.0
 積分,0.0093192216031878,0.0173170170723766,0.0277413190892776,19.0
 面,0.0093126072991123,0.0100719599701863,0.0100420915443003,14.0
 少なく,0.0093050380455201,0.0161649732241259,0.023153083115899403,12.0
 非常,0.0092862247192816,0.0147790997731982,0.0202378077430617,47.0
 にて,0.0092764739406751,0.009927774127694,0.0077040791555121006,5.0
合う,0.0092753622596972,0.012537931206108402,0.014474103521951798,12.0
 始め,0.0092594022758432,0.0092594022758432,0.007190020693701799,11.0
記,0.0092515334027907,0.0121155459501619,0.0155545899748934,29.0
 行政,0.0092280729528283,0.0107871720421826,0.01669429984259,5.0
 維持,0.0092031693103924,0.0205017313362433,0.0269254873709844,7.0
 しれ,0.0091954774077527,0.0107628085607134,0.013370434959949901,43.0
 得意,0.0091930395446979,0.012109054679448098,0.0176649509573383,21.0
 企業,0.0091719277127465,0.0101666402072493,0.009392387972848,14.0
 いう,0.0091679086227839,0.0096950555738429,0.0140892632075779,157.0
 常識,0.0091510306757906,0.0091865356403104,0.0116354644893158,6.0
 変化,0.0091368754690549,0.0091368754690549,0.0093956833446297,7.0
 作る,0.0090999558934824,0.0104369185438669,0.0206873769070359,24.0
する,0.0090895723126833,0.0118339221836892,0.0162568434248896,79.0
int,0.0090890659339839,0.0141337807934351,0.017720803964189,7.0
 会話,0.0090841774288202,0.0136817353150167,0.0158121198690723,23.0
 レベル,0.0090801161648736,0.0107271965929806,0.0174062829269186,7.0
 て,0.009075592043,0.0118429127411546,0.0168807035412941,4669.0
 よっ,0.0090745672581529,0.0125898433456561,0.0181146190052548,38.0
 結果,0.0090446056095578,0.0092880911427439,0.0169149670128993,15.0
点,0.0090289666504152,0.0144392852028734,0.025115098143587,15.0
 指導,0.0090254537706531,0.0105243824421477,0.0115969656198197,11.0
 話す,0.008966529250734,0.0209550717345943,0.0338800909235845,33.0
 以外,0.0089560309509998,0.010408316345728,0.0137818369254819,17.0
 数学,0.0089219146031017,0.0145408834318276,0.0229463560094908,65.0
 真剣,0.0089209780576311,0.0136429823555772,0.0133921976813539,16.0
 you,0.0089158315400016,0.0089158315400016,0.0053292127405121,6.0
しく,0.0089020052460574,0.0097786546002345,0.0066267346187351,20.0
 読む,0.0088884565180497,0.0169680172244416,0.0232447626696896,17.0
 思い出,0.0088712559506044,0.0108857980655254,0.012074266275350099,6.0
 など,0.0088657787000482,0.012393407456807401,0.0163315956929324,426.0
 物理,0.0088119445588933,0.01189678584433,0.0157461168981047,58.0
 必,0.0087986536390316,0.0127227987613878,0.014398139027619902,9.0
 高校,0.0087762586359751,0.013806068507278,0.0177177493662665,144.0
 含ま,0.0087616369322683,0.0105709722154466,0.0080796157940074,5.0
 に,0.0087445937746162,0.0103301556560569,0.0135955221985144,4363.0
f,0.0087443724518528,0.0110592916471636,0.012763231016711,11.0
 から,0.0087296461392517,0.0107564178212904,0.0134047397961154,394.0
 持っ,0.0087093691183889,0.0096230994388101,0.0157508280241298,47.0
 ライン,0.0086957485175665,0.0111875841977528,0.0191990559551461,47.0
 有効,0.0086912226417598,0.0089236517264437,0.0134594356534239,10.0
 印象,0.0086848920132652,0.0086848920132652,0.0056956583403996,6.0
 詳しい,0.0086833283692226,0.0121268712024421,0.013587620521415,8.0
 今後,0.0086734027864892,0.0122690336660841,0.0162765375573177,94.0
 音,0.0086621059607863,0.0090766593329854,0.011779113514074799,12.0
 一人,0.0086574110822861,0.0104244902730153,0.0135249237343539,14.0
